Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,99.0,170.0,190.0,162.0,132.0,128.0,120.0,93.0,79.0,89.0,27.0,56.0,46.0,63.0,729.0,976.0
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,135.0,164.0,139.0,129.0,97.0,85.0,57.0,22.0,13.0,14.0,32.0,58.0,81.0,112.0,973.0,1282.0
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,82.0,101.0,152.0,181.0,92.0,116.0,31.0,22.0,14.0,22.0,25.0,37.0,77.0,66.0,766.0,1409.0
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,109.0,118.0,150.0,107.0,74.0,133.0,146.0,123.0,41.0,48.0,37.0,47.0,83.0,74.0,838.0,1186.0
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,238.0,243.0,254.0,237.0,278.0,263.0,159.0,136.0,103.0,96.0,70.0,88.0,90.0,89.0,958.0,1443.0
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,77.0,88.0,84.0,44.0,24.0,30.0,66.0,59.0,51.0,67.0,31.0,41.0,44.0,75.0,712.0,1070.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,3148.0,3653.0,1834.0,1961.0,1653.0,2362.0,1683.0,1583.0,1433.0,1231.0,1896.0,2199.0,2703.0,3348.0,18143.0,25478.0
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,702.0,1310.0,718.0,840.0,593.0,982.0,681.0,538.0,407.0,414.0,421.0,563.0,727.0,1003.0,5416.0,6834.0
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,58.0,68.0,56.0,45.0,33.0,35.0,44.0,43.0,25.0,29.0,51.0,88.0,95.0,93.0,457.0,672.0
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,139.0,124.0,68.0,75.0,93.0,53.0,51.0,41.0,57.0,57.0,148.0,76.0,162.0,202.0,806.0,1253.0
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,150.0,116.0,69.0,64.0,62.0,118.0,104.0,92.0,67.0,64.0,87.0,114.0,83.0,126.0,836.0,1138.0
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,141.0,113.0,52.0,69.0,62.0,108.0,87.0,118.0,55.0,25.0,27.0,39.0,74.0,94.0,555.0,934.0
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,217.0,269.0,125.0,95.0,91.0,104.0,90.0,68.0,79.0,66.0,109.0,135.0,131.0,181.0,1058.0,1575.0
